UserID,Date,Steps,CaloriesBurned,DistanceKm,SleepHours,HeartRate,FoodItem,CaloriesIntake,Protein_g,Fat_g,Carbs_g,WaterIntake_L,Mood,Recommendation
1504,2023-06-23,13929,2843,12.38,8.2,76,Veg Sandwich,2685,31.0,46.4,298.1,2.1,Energetic,Great job! Keep maintaining your healthy routine.
1130,2023-04-10,7289,3400,5.13,4.0,82,Egg Wrap,2507,108.0,49.4,266.7,3.5,Stressed,You’re low on rest. Aim for at least 7 hours tonight.
1484,2023-03-02,11753,3598,7.17,5.6,72,Grilled Fish,1627,40.0,58.5,356.8,1.3,Stressed,You’re low on rest. Aim for at least 7 hours tonight.
1818,2023-12-26,14744,2620,9.31,5.3,98,Grilled Fish,1780,70.0,46.1,359.1,3.4,Tired,You’re low on rest. Aim for at least 7 hours tonight.
1646,2023-07-07,17758,3203,14.89,7.9,71,Paneer Curry,1225,42.5,40.3,115.4,1.6,Stressed,Drink more water to stay hydrated.
1020,2023-01-07,14047,1292,12.31,4.1,58,Veg Sandwich,2946,111.2,26.2,153.9,1.8,Tired,You’re low on rest. Aim for at least 7 hours tonight.
1840,2023-07-08,14206,1998,8.82,8.3,116,Dal & Rice,2323,109.0,45.9,352.4,1.1,Stressed,Drink more water to stay hydrated.
1166,2023-03-24,1499,2631,0.94,6.2,64,Fruit Smoothie,1224,149.0,55.0,383.8,0.8,Stressed,Try taking a short walk to stay active.
1273,2023-12-17,3392,1628,2.13,7.6,109,Oatmeal,1820,144.1,63.4,149.5,3.2,Happy,Try taking a short walk to stay active.
1387,2023-10-10,5524,1873,3.61,5.2,94,Fruit Smoothie,2622,100.6,56.3,145.1,0.9,Relaxed,You’re low on rest. Aim for at least 7 hours tonight.
1600,2023-05-04,6151,3690,3.91,7.6,86,Oatmeal,2319,101.5,30.0,130.6,0.9,Tired,Drink more water to stay hydrated.
1315,2023-06-06,3033,3746,2.16,4.8,61,Dal & Rice,1579,58.4,38.7,128.4,2.2,Relaxed,Try taking a short walk to stay active.
1013,2023-03-28,5882,3602,4.24,7.4,91,Oatmeal,1731,100.0,84.5,284.8,1.5,Stressed,Drink more water to stay hydrated.
1241,2023-05-28,4863,2748,3.68,7.4,94,Oatmeal,2684,120.0,87.4,205.6,3.9,Tired,Try taking a short walk to stay active.
1776,2023-03-11,11857,1449,9.92,8.8,95,Fried Rice,1456,131.6,60.2,159.9,1.2,Tired,Drink more water to stay hydrated.
1345,2023-03-17,16005,1367,12.4,7.5,90,Paneer Curry,2843,98.1,57.1,306.2,1.3,Sad,Drink more water to stay hydrated.
1564,2023-04-24,4412,3194,2.76,8.2,98,Dal & Rice,2256,149.4,62.9,180.4,2.6,Tired,Try taking a short walk to stay active.
1897,2023-01-03,10876,2364,9.16,4.3,88,Egg Wrap,2439,43.7,53.8,340.6,0.5,Tired,You’re low on rest. Aim for at least 7 hours tonight.
1339,2023-08-22,1303,1817,1.07,7.0,57,Fruit Smoothie,2348,149.6,89.2,327.9,2.1,Sad,Try taking a short walk to stay active.
1091,2023-06-16,19408,2669,16.11,5.8,65,Paneer Curry,2103,84.2,34.9,390.4,0.8,Stressed,You’re low on rest. Aim for at least 7 hours tonight.
1366,2023-04-09,1449,3556,1.12,5.5,70,Oatmeal,1621,64.0,65.2,355.4,3.6,Sad,Try taking a short walk to stay active.
1955,2023-05-04,1533,1436,1.11,4.8,102,Dal & Rice,2200,78.8,54.5,355.4,0.5,Energetic,Try taking a short walk to stay active.
1454,2023-02-14,11807,3547,7.69,5.2,78,Oatmeal,1483,102.3,76.0,151.1,1.4,Tired,You’re low on rest. Aim for at least 7 hours tonight.
1427,2023-11-20,3471,3979,3.07,7.0,94,Grilled Fish,2972,59.2,65.9,253.5,3.3,Happy,Try taking a short walk to stay active.
1508,2023-10-14,7181,1651,6.18,7.7,119,Veg Sandwich,2942,81.8,55.5,309.2,1.3,Sad,Drink more water to stay hydrated.
1775,2023-04-16,19962,2181,13.47,6.6,111,Fried Rice,1954,37.2,54.8,177.9,2.1,Tired,Take a break and do something relaxing.
1942,2023-10-21,9082,3692,6.33,5.9,82,Oatmeal,2385,93.6,88.6,172.2,2.4,Stressed,You’re low on rest. Aim for at least 7 hours tonight.
1034,2023-05-14,12969,2661,8.02,8.1,99,Fruit Smoothie,2090,138.6,64.0,237.0,1.5,Relaxed,Drink more water to stay hydrated.
1205,2023-01-08,11097,3424,9.14,6.9,83,Oatmeal,2641,102.6,72.5,343.7,1.3,Sad,Drink more water to stay hydrated.
1080,2023-01-28,11454,2241,9.14,8.0,112,Veg Sandwich,1868,80.4,32.8,388.7,1.7,Energetic,Drink more water to stay hydrated.
1931,2023-09-28,4758,3687,3.98,5.9,80,Paneer Curry,2813,52.0,34.8,380.9,3.3,Relaxed,Try taking a short walk to stay active.
1561,2023-08-11,18336,3681,11.57,7.2,74,Veg Sandwich,2835,141.1,72.5,318.4,1.9,Happy,Drink more water to stay hydrated.
1871,2023-01-08,13029,3088,8.24,8.8,100,Egg Wrap,1464,65.7,25.0,353.7,3.0,Relaxed,Great job! Keep maintaining your healthy routine.
1387,2023-11-06,13844,3239,11.84,4.3,111,Dal & Rice,2147,117.7,32.0,226.4,4.0,Energetic,You’re low on rest. Aim for at least 7 hours tonight.
1001,2023-05-14,7358,1946,5.93,7.4,67,Oatmeal,1883,128.9,78.1,203.6,0.6,Stressed,Drink more water to stay hydrated.
1389,2023-01-29,12291,3444,8.48,7.6,114,Paneer Curry,1977,119.6,75.6,303.4,3.3,Stressed,Take a break and do something relaxing.
1565,2023-04-25,15651,2607,11.48,4.3,84,Chicken Salad,1498,105.5,49.2,305.2,3.2,Sad,You’re low on rest. Aim for at least 7 hours tonight.
1105,2023-02-03,1913,2239,1.39,7.5,114,Chicken Salad,1861,34.7,24.3,285.9,3.5,Stressed,Try taking a short walk to stay active.
1771,2023-01-07,4279,3177,3.19,6.8,60,Dal & Rice,1991,45.6,62.1,340.5,3.0,Happy,Try taking a short walk to stay active.
1821,2023-02-09,8960,2957,6.39,5.4,97,Oatmeal,2209,91.8,84.6,325.8,0.7,Happy,You’re low on rest. Aim for at least 7 hours tonight.
1476,2023-11-26,14820,1473,13.14,5.7,77,Veg Sandwich,2129,84.6,20.3,393.5,1.5,Happy,You’re low on rest. Aim for at least 7 hours tonight.
1702,2023-03-03,3022,2983,2.13,7.2,79,Chicken Salad,2226,110.4,54.5,250.1,3.9,Relaxed,Try taking a short walk to stay active.
1401,2023-03-27,6760,3466,4.85,6.5,99,Dal & Rice,1341,89.6,64.6,261.3,3.7,Happy,Great job! Keep maintaining your healthy routine.
1729,2023-08-01,17358,1722,14.83,8.6,103,Dal & Rice,2340,108.7,81.8,342.0,0.7,Stressed,Drink more water to stay hydrated.
1555,2023-04-26,1950,3196,1.18,8.9,101,Oatmeal,2852,119.7,77.8,318.9,1.1,Happy,Try taking a short walk to stay active.
1161,2023-03-06,16078,3825,13.42,7.0,90,Oatmeal,2843,42.6,63.8,267.3,3.7,Relaxed,Great job! Keep maintaining your healthy routine.
1201,2023-10-24,10054,3272,6.74,6.5,55,Chicken Salad,1876,58.6,64.8,227.9,0.9,Relaxed,Drink more water to stay hydrated.
1957,2023-06-19,14478,2000,11.23,7.5,93,Veg Sandwich,1741,75.7,87.7,166.3,3.4,Energetic,Great job! Keep maintaining your healthy routine.
1995,2023-04-26,10822,3026,7.34,4.0,83,Grilled Fish,1684,131.4,20.7,148.4,1.2,Stressed,You’re low on rest. Aim for at least 7 hours tonight.
1269,2023-11-18,9779,1415,8.43,7.8,104,Fried Rice,1691,111.2,39.4,134.6,3.1,Energetic,Great job! Keep maintaining your healthy routine.
1862,2023-04-26,16256,2472,14.26,4.1,98,Chicken Salad,2950,106.1,77.2,177.4,1.2,Stressed,You’re low on rest. Aim for at least 7 hours tonight.
1815,2023-08-09,12670,2652,8.3,7.2,71,Veg Sandwich,1503,60.8,64.6,297.4,3.6,Energetic,Great job! Keep maintaining your healthy routine.
1270,2023-12-23,9874,1892,8.54,5.1,115,Chicken Salad,2938,99.9,54.4,129.8,2.2,Sad,You’re low on rest. Aim for at least 7 hours tonight.
1455,2023-02-19,18711,2684,11.98,8.5,88,Paneer Curry,2587,135.4,27.2,159.7,1.7,Relaxed,Drink more water to stay hydrated.
1461,2023-11-23,12483,2412,9.14,5.6,103,Dal & Rice,2712,107.0,34.3,214.5,1.5,Relaxed,You’re low on rest. Aim for at least 7 hours tonight.
1726,2023-12-02,14792,3409,8.96,5.1,104,Paneer Curry,2066,44.0,77.6,232.0,2.3,Relaxed,You’re low on rest. Aim for at least 7 hours tonight.
1251,2023-03-20,9485,1653,6.81,8.6,59,Dal & Rice,2691,79.3,47.6,317.8,1.5,Sad,Drink more water to stay hydrated.
1701,2023-01-20,10049,3073,6.28,5.4,57,Fried Rice,2113,40.9,80.7,381.9,1.9,Relaxed,You’re low on rest. Aim for at least 7 hours tonight.
1295,2023-02-06,12031,1561,9.59,6.3,116,Dal & Rice,2544,77.9,73.2,202.7,3.9,Stressed,Take a break and do something relaxing.
1724,2023-09-16,5349,2532,4.29,7.0,118,Egg Wrap,2915,48.3,43.2,251.8,1.4,Energetic,Drink more water to stay hydrated.
1719,2023-04-03,16492,2757,10.48,7.8,76,Fried Rice,1292,88.1,85.0,396.0,0.6,Stressed,Drink more water to stay hydrated.
1748,2023-07-06,18296,1704,15.38,7.4,78,Chicken Salad,2543,133.7,21.6,129.9,2.2,Happy,Great job! Keep maintaining your healthy routine.
1337,2023-12-23,11510,2151,7.67,4.1,71,Chicken Salad,1673,60.4,87.5,158.7,3.0,Tired,You’re low on rest. Aim for at least 7 hours tonight.
1878,2023-07-20,8873,1467,6.12,8.9,110,Pasta,1817,111.1,44.0,261.3,1.9,Relaxed,Drink more water to stay hydrated.
1052,2023-10-15,12233,3399,7.75,7.9,107,Paneer Curry,1828,96.7,78.8,120.2,3.0,Sad,Take a break and do something relaxing.
1791,2023-02-17,11003,2864,9.36,7.1,84,Paneer Curry,1656,56.8,25.1,105.5,2.1,Tired,Take a break and do something relaxing.
1921,2023-09-10,9861,3095,7.39,6.6,70,Fried Rice,1210,138.3,61.6,172.0,3.0,Energetic,Great job! Keep maintaining your healthy routine.
1216,2023-02-15,10103,3241,8.65,9.0,69,Grilled Fish,1350,49.9,52.9,373.0,2.8,Tired,Take a break and do something relaxing.
1763,2023-08-19,2722,2891,1.98,5.9,103,Veg Sandwich,1879,89.3,51.1,201.4,0.8,Sad,Try taking a short walk to stay active.
1187,2023-04-05,8299,2168,5.95,7.6,112,Fried Rice,1271,141.3,30.8,134.5,3.6,Energetic,Great job! Keep maintaining your healthy routine.
1379,2023-10-30,6416,2154,4.73,8.5,94,Dal & Rice,1462,47.1,74.7,385.5,1.1,Energetic,Drink more water to stay hydrated.
1492,2023-08-06,11746,1314,8.76,4.5,113,Paneer Curry,1388,33.4,74.8,360.3,2.9,Happy,You’re low on rest. Aim for at least 7 hours tonight.
1040,2023-02-09,10803,2589,7.73,7.3,81,Fruit Smoothie,1707,76.6,88.0,347.7,2.2,Tired,Take a break and do something relaxing.
1156,2023-07-22,6639,1530,4.9,7.9,60,Veg Sandwich,2833,101.4,37.9,255.1,3.2,Sad,Take a break and do something relaxing.
1014,2023-04-26,17279,1745,12.86,6.1,111,Veg Sandwich,2746,100.4,43.8,173.0,3.7,Tired,Take a break and do something relaxing.
1812,2023-04-01,6738,1347,6.05,7.5,94,Fruit Smoothie,2596,53.1,22.0,229.3,0.5,Happy,Drink more water to stay hydrated.
1064,2023-02-27,7461,1858,5.89,4.6,71,Egg Wrap,1591,100.1,33.5,211.5,3.6,Relaxed,You’re low on rest. Aim for at least 7 hours tonight.
1856,2023-01-10,10785,2847,9.24,4.8,77,Oatmeal,2521,125.0,29.1,143.6,3.9,Relaxed,You’re low on rest. Aim for at least 7 hours tonight.
1838,2023-09-13,18734,1575,13.99,7.6,95,Egg Wrap,2127,62.0,59.1,392.2,3.9,Relaxed,Great job! Keep maintaining your healthy routine.
1520,2023-11-13,13148,1829,10.2,4.5,83,Chicken Salad,1413,34.2,70.4,303.8,1.8,Energetic,You’re low on rest. Aim for at least 7 hours tonight.
1343,2023-09-06,1173,2961,0.72,5.1,105,Chicken Salad,1623,147.2,22.1,163.3,0.5,Happy,Try taking a short walk to stay active.
1128,2023-11-13,9550,2282,6.55,5.2,66,Grilled Fish,2628,94.7,56.8,139.6,2.5,Relaxed,You’re low on rest. Aim for at least 7 hours tonight.
1647,2023-01-06,10881,2424,9.15,6.8,66,Grilled Fish,1730,54.4,88.2,215.8,1.5,Energetic,Drink more water to stay hydrated.
1471,2023-11-27,10001,2050,7.01,7.7,61,Grilled Fish,1432,104.7,79.7,224.8,3.5,Stressed,Take a break and do something relaxing.
1062,2023-07-07,15903,1877,13.0,7.6,115,Grilled Fish,2441,65.9,74.5,202.1,1.3,Happy,Drink more water to stay hydrated.
1138,2023-08-23,1942,3144,1.18,8.8,87,Oatmeal,1822,134.0,50.0,245.2,3.5,Tired,Try taking a short walk to stay active.
1498,2023-07-02,5529,3915,4.24,5.1,105,Egg Wrap,2220,44.7,57.5,229.6,3.0,Relaxed,You’re low on rest. Aim for at least 7 hours tonight.
1592,2023-10-14,1428,3216,1.28,7.1,103,Paneer Curry,2531,143.8,32.4,325.7,3.1,Happy,Try taking a short walk to stay active.
1391,2023-05-03,12843,2522,10.46,4.9,64,Fried Rice,2875,138.2,69.0,114.0,3.3,Stressed,You’re low on rest. Aim for at least 7 hours tonight.
1674,2023-06-07,16659,1557,13.49,8.5,62,Fried Rice,2463,101.1,31.2,112.7,2.1,Relaxed,Great job! Keep maintaining your healthy routine.
1418,2023-11-19,2944,1820,2.19,8.9,103,Fried Rice,2786,84.0,64.6,283.6,1.3,Happy,Try taking a short walk to stay active.
1288,2023-01-13,3355,1725,2.3,4.4,102,Pasta,2961,37.4,58.6,298.3,2.5,Energetic,Try taking a short walk to stay active.
1378,2023-11-11,14969,3785,10.84,8.3,75,Veg Sandwich,2945,58.5,75.9,373.1,1.3,Energetic,Drink more water to stay hydrated.
1772,2023-02-23,4228,1864,3.19,6.3,70,Fruit Smoothie,2709,66.7,57.2,150.1,2.0,Happy,Try taking a short walk to stay active.
1489,2023-12-26,5263,2920,4.29,7.6,62,Veg Sandwich,2914,37.4,53.1,266.4,1.0,Sad,Drink more water to stay hydrated.
1230,2023-10-04,6555,2348,4.25,7.7,119,Dal & Rice,2483,77.4,72.8,135.0,3.8,Relaxed,Great job! Keep maintaining your healthy routine.
1040,2023-02-12,12067,3726,8.58,6.2,58,Veg Sandwich,2053,72.1,43.2,356.7,0.8,Sad,Drink more water to stay hydrated.
1027,2023-09-24,16333,2186,14.0,6.8,112,Fruit Smoothie,1428,70.8,47.3,124.6,0.6,Energetic,Drink more water to stay hydrated.
1134,2023-04-19,12432,3401,7.49,4.8,78,Fried Rice,2647,82.5,51.3,343.6,2.6,Sad,You’re low on rest. Aim for at least 7 hours tonight.
1200,2023-11-19,5043,3133,4.27,8.9,67,Paneer Curry,1813,74.0,54.7,173.7,3.5,Sad,Take a break and do something relaxing.
1839,2023-06-15,17142,1393,10.56,8.8,79,Egg Wrap,1529,109.2,67.4,301.8,2.3,Relaxed,Great job! Keep maintaining your healthy routine.
1779,2023-12-17,8679,1263,7.23,8.9,97,Fruit Smoothie,2073,110.3,87.7,138.1,3.8,Sad,Take a break and do something relaxing.
1929,2023-04-16,1568,3145,1.41,7.2,107,Veg Sandwich,1328,128.7,56.1,330.0,3.7,Relaxed,Try taking a short walk to stay active.
1032,2023-02-20,3210,3651,2.64,8.5,71,Pasta,2561,123.5,21.6,290.7,2.9,Stressed,Try taking a short walk to stay active.
1047,2023-07-23,9025,1304,6.86,5.8,59,Veg Sandwich,2761,93.0,71.5,299.9,3.2,Relaxed,You’re low on rest. Aim for at least 7 hours tonight.
1502,2023-10-29,8124,3941,5.19,4.7,91,Pasta,2791,78.0,52.8,366.1,2.7,Relaxed,You’re low on rest. Aim for at least 7 hours tonight.
1406,2023-02-12,1343,2411,0.83,4.6,101,Pasta,2789,94.0,88.2,179.4,0.7,Tired,Try taking a short walk to stay active.
1573,2023-10-10,16385,1842,11.81,7.4,116,Veg Sandwich,1288,126.1,78.2,356.2,1.1,Energetic,Drink more water to stay hydrated.
1727,2023-03-26,12319,2469,8.91,9.0,99,Oatmeal,2304,40.5,27.2,253.4,2.2,Tired,Take a break and do something relaxing.
1804,2023-08-05,13830,2122,9.27,5.4,60,Fruit Smoothie,2389,35.7,26.4,163.9,2.8,Tired,You’re low on rest. Aim for at least 7 hours tonight.
1098,2023-06-07,14341,1292,10.33,6.9,66,Chicken Salad,1839,37.0,76.7,299.9,0.9,Sad,Drink more water to stay hydrated.
1683,2023-12-16,3583,2722,2.46,8.0,56,Egg Wrap,2296,49.4,28.2,142.9,1.6,Energetic,Try taking a short walk to stay active.
1871,2023-05-07,1153,1273,0.71,5.2,105,Chicken Salad,2888,38.8,33.4,187.9,3.0,Stressed,Try taking a short walk to stay active.
1725,2023-07-10,12109,1574,8.89,6.8,115,Paneer Curry,1967,136.7,66.0,343.8,2.2,Happy,Great job! Keep maintaining your healthy routine.
1986,2023-09-23,12120,3990,9.03,4.5,110,Fruit Smoothie,1324,38.2,87.0,143.3,4.0,Stressed,You’re low on rest. Aim for at least 7 hours tonight.
1546,2023-03-01,11107,1945,9.0,7.5,112,Egg Wrap,2369,60.5,41.0,154.0,2.0,Sad,Take a break and do something relaxing.
1960,2023-10-10,13619,2326,10.42,6.7,86,Paneer Curry,2088,144.0,38.6,240.1,3.7,Tired,Take a break and do something relaxing.
1738,2023-03-03,8444,3973,7.35,4.4,112,Oatmeal,1458,137.5,76.5,174.7,2.1,Relaxed,You’re low on rest. Aim for at least 7 hours tonight.
1612,2023-10-29,11646,2889,8.21,7.8,92,Egg Wrap,1294,110.5,81.8,146.7,3.8,Relaxed,Great job! Keep maintaining your healthy routine.
1942,2023-05-06,6403,3142,4.27,6.8,59,Pasta,2871,85.7,60.7,324.6,2.7,Energetic,Great job! Keep maintaining your healthy routine.
1461,2023-06-21,11832,1697,7.34,7.9,105,Veg Sandwich,2091,86.3,85.5,341.1,1.1,Sad,Drink more water to stay hydrated.
1642,2023-03-04,19254,2190,13.79,6.8,82,Chicken Salad,1945,38.2,38.3,392.5,2.6,Tired,Take a break and do something relaxing.
1768,2023-09-17,11682,1586,7.19,7.0,115,Pasta,1957,142.3,81.1,265.1,2.9,Relaxed,Great job! Keep maintaining your healthy routine.
1004,2023-01-16,4252,3428,3.17,4.9,75,Paneer Curry,2053,56.2,76.0,230.6,2.2,Tired,Try taking a short walk to stay active.
1217,2023-06-28,6940,2796,6.03,5.2,76,Oatmeal,1431,44.2,43.7,218.8,2.6,Stressed,You’re low on rest. Aim for at least 7 hours tonight.
1502,2023-11-26,13449,2033,10.24,8.3,75,Chicken Salad,2719,64.5,46.7,194.3,1.0,Relaxed,Drink more water to stay hydrated.
1766,2023-04-11,4547,2479,3.62,7.1,82,Chicken Salad,2101,74.7,32.5,110.9,1.9,Sad,Try taking a short walk to stay active.
1397,2023-06-25,10576,3166,9.14,5.3,65,Fruit Smoothie,2989,136.4,28.2,214.8,3.5,Energetic,You’re low on rest. Aim for at least 7 hours tonight.
